;departamento;sexo;edad;direccion;t_familia;padres_status;madre_edu;padre_edu;madre_trab;padre_trab;razon;guardian;t_examen;t_estudio;faltas;soporte_edu_extra;soporte_edu_fam;monitores;actividades_extra;preuniversitario;postgrado;internet;relacion_sen;relacion_fam;tiempo_libre;salir_amigos;cons_alcohol_sem;cons_alcohol_finde;salud;ausencias;nota_01;nota_02;nota_03
0;II;M;18;U;mayor_3;S;4;4;en_casa;profesor;habilidad;madre;2;2;0;si;no;no;no;si;si;no;no;4;3;4;1;1;3;4;0;11;11
1;II;M;17;U;mayor_3;J;1;1;en_casa;otro;habilidad;padre;1;2;0;no;si;no;no;no;si;yes;no;5;3;3;1;1;3;2;9;11;11
2;II;M;15;U;menor_e3;J;1;1;en_casa;otro;otro;madre;1;2;0;si;no;no;no;si;si;yes;no;4;3;2;2;3;3;6;12;13;12
3;II;M;15;U;mayor_3;J;4;2;salud;servicios;recomendacion;madre;1;3;0;no;si;no;si;si;si;yes;yes;3;2;2;1;1;5;0;14;14;14
4;II;M;16;U;mayor_3;J;3;3;otro;otro;recomendacion;padre;1;2;0;no;si;no;no;si;si;no;no;4;3;2;1;2;5;0;11;13;13
5;II;H;16;U;menor_e3;J;4;3;servicios;otro;reputacion;madre;1;2;0;no;si;no;si;si;si;yes;no;5;4;2;1;2;5;6;12;12;13
6;II;H;16;U;menor_e3;J;2;2;otro;otro;recomendacion;madre;1;2;0;no;no;no;no;si;si;yes;no;4;4;4;1;1;3;0;13;12;13
7;II;M;17;U;mayor_3;S;4;4;otro;profesor;recomendacion;madre;2;2;0;si;si;no;no;si;si;no;no;4;1;4;1;1;1;2;10;13;13
8;II;H;15;U;menor_e3;S;3;2;servicios;otro;recomendacion;madre;1;2;0;no;si;no;no;si;si;yes;no;4;2;2;1;1;1;0;15;16;17
9;II;H;15;U;mayor_3;J;3;4;otro;otro;recomendacion;madre;1;2;0;no;si;no;si;si;si;yes;no;5;5;1;1;1;5;0;12;12;13
10;II;M;15;U;mayor_3;J;4;4;profesor;salud;reputacion;madre;1;2;0;no;si;no;no;si;si;yes;no;3;3;3;1;2;2;2;14;14;14
11;II;M;15;U;mayor_3;J;2;1;servicios;otro;reputacion;padre;3;3;0;no;si;no;si;si;si;yes;no;5;2;2;1;1;4;0;10;12;13
12;II;H;15;U;menor_e3;J;4;4;salud;servicios;habilidad;padre;1;1;0;no;si;no;si;si;si;yes;no;4;3;3;1;3;5;0;12;13;12
13;II;H;15;U;mayor_3;J;4;3;profesor;otro;habilidad;madre;2;2;0;no;si;no;no;si;si;yes;no;5;4;3;1;2;3;0;12;12;13
14;II;H;15;U;mayor_3;S;2;2;otro;otro;recomendacion;otro;1;3;0;no;si;no;no;si;si;yes;yes;4;5;2;1;1;3;0;14;14;15
15;II;M;16;U;mayor_3;J;4;4;salud;otro;recomendacion;madre;1;1;0;no;si;no;no;si;si;yes;no;4;4;4;1;2;2;6;17;17;17
16;II;M;16;U;mayor_3;J;4;4;servicios;servicios;reputacion;madre;1;3;0;no;si;no;si;si;si;yes;no;3;2;3;1;2;2;10;13;13;14
17;II;M;16;U;mayor_3;J;3;3;otro;otro;reputacion;madre;3;2;0;si;si;no;si;si;si;no;no;5;3;2;1;1;4;2;13;14;14
18;II;H;17;U;mayor_3;J;3;2;servicios;servicios;habilidad;madre;1;1;3;no;si;si;si;si;si;yes;no;5;5;5;2;4;5;2;8;8;7
19;II;H;16;U;menor_e3;J;4;3;salud;otro;recomendacion;padre;1;1;0;no;no;no;si;si;si;yes;no;3;1;3;1;3;5;6;12;12;12
20;II;H;15;U;mayor_3;J;4;3;profesor;otro;reputacion;madre;1;2;0;no;no;no;no;si;si;yes;no;4;4;1;1;1;1;0;12;13;14
21;II;H;15;U;mayor_3;J;4;4;salud;salud;otro;padre;1;1;0;no;si;si;no;si;si;yes;no;5;4;2;1;1;5;0;11;12;12
22;II;H;16;U;menor_e3;J;4;2;profesor;otro;habilidad;madre;1;2;0;no;no;no;si;si;si;yes;no;4;5;1;1;3;5;0;12;13;14
23;II;H;16;U;menor_e3;J;2;2;otro;otro;reputacion;madre;2;2;0;no;si;no;si;si;si;yes;no;5;4;4;2;4;5;2;10;10;10
24;II;M;15;R;mayor_3;J;2;4;servicios;salud;habilidad;madre;1;3;0;si;si;no;si;si;si;yes;no;4;3;2;1;1;5;2;10;11;10
25;II;M;16;U;mayor_3;J;2;2;servicios;servicios;recomendacion;madre;1;1;0;no;si;no;no;no;si;yes;no;1;2;2;1;3;5;6;10;11;12
26;II;H;15;U;mayor_3;J;2;2;otro;otro;recomendacion;madre;1;1;0;no;si;no;no;si;si;yes;no;4;2;2;1;2;5;8;11;12;12
27;II;H;15;U;mayor_3;J;4;2;salud;servicios;otro;madre;1;1;0;no;no;no;no;si;si;yes;no;2;2;4;2;4;1;0;11;11;11
28;II;H;16;U;menor_e3;S;3;4;servicios;otro;recomendacion;madre;1;2;0;si;si;si;si;si;si;yes;no;5;3;3;1;1;5;2;12;12;13
29;II;H;16;U;mayor_3;J;4;4;profesor;profesor;recomendacion;madre;1;2;0;no;si;si;si;si;si;yes;yes;4;4;5;5;5;5;4;12;11;12
